                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79728,                0.50636,                 1.2371,                0.97269,                0.95859,                0.98275,                0.73539,                0.89194,                0.40737,                 1.2653,                 0.0013,                 0.0013,                 0.0013
                     37,                0.78858,                0.50096,                 1.2396,                0.97072,                0.96091,                0.97647,                0.73877,                0.87449,                0.40123,                 1.2482,                0.00128,                0.00128,                0.00128
                     38,                0.79108,                0.51579,                 1.2359,                0.97279,                0.96222,                0.98025,                0.74088,                0.88272,                0.40524,                 1.2519,                0.00126,                0.00126,                0.00126
                     39,                0.77645,                0.50137,                 1.2276,                0.96224,                 0.9497,                0.97797,                0.73103,                0.90586,                0.40391,                  1.291,                0.00124,                0.00124,                0.00124
                     40,                0.76463,                0.49065,                 1.2267,                 0.9641,                0.96066,                0.98226,                0.75155,                0.84634,                0.40303,                 1.2245,                0.00122,                0.00122,                0.00122
                     41,                0.76698,                0.49139,                 1.2229,                0.96692,                0.95238,                0.97907,                0.75371,                0.87805,                 0.3946,                 1.2576,                 0.0012,                 0.0012,                 0.0012
                     42,                0.77404,                0.49102,                 1.2197,                0.97449,                0.94893,                0.97601,                0.73835,                0.87777,                0.41289,                 1.2504,                0.00118,                0.00118,                0.00118
                     43,                0.76134,                0.48512,                 1.2188,                0.96475,                0.96329,                0.98412,                0.75276,                0.85571,                0.39469,                 1.2312,                0.00116,                0.00116,                0.00116
                     44,                0.76268,                0.47382,                 1.2191,                0.97671,                0.95525,                0.98158,                0.75491,                0.86685,                 0.3825,                 1.2476,                0.00114,                0.00114,                0.00114
                     45,                0.76091,                0.47747,                 1.2156,                0.97871,                0.95177,                0.98284,                0.75804,                0.86559,                0.39028,                 1.2448,                0.00112,                0.00112,                0.00112
                     46,                0.74915,                0.47353,                 1.2091,                0.97251,                0.95206,                0.97931,                0.75555,                0.85557,                0.37821,                 1.2295,                 0.0011,                 0.0011,                 0.0011
                     47,                0.74169,                0.47851,                 1.1992,                0.97438,                 0.9648,                0.97905,                0.75393,                0.85817,                0.38391,                  1.253,                0.00108,                0.00108,                0.00108
                     48,                 0.7368,                0.46612,                 1.1941,                0.95778,                0.95652,                0.97945,                0.74774,                0.86558,                0.38798,                 1.2434,                0.00106,                0.00106,                0.00106
                     49,                0.72174,                0.46425,                 1.1839,                0.96274,                0.95859,                0.97766,                0.76089,                0.84859,                0.38765,                 1.2353,                0.00104,                0.00104,                0.00104
                     50,                0.73133,                0.45097,                 1.1907,                0.96624,                0.94824,                0.97948,                0.76088,                0.86149,                  0.387,                 1.2455,                0.00102,                0.00102,                0.00102
                     51,                0.72269,                0.45416,                 1.1926,                0.96779,                0.95652,                0.97673,                0.75111,                0.87446,                 0.3668,                 1.2614,                  0.001,                  0.001,                  0.001
                     52,                0.71657,                0.44734,                 1.1788,                0.96663,                 0.9596,                0.97868,                0.75008,                0.85901,                0.37769,                 1.2446,                0.00098,                0.00098,                0.00098
                     53,                0.71172,                0.44283,                  1.176,                0.96924,                0.94617,                0.97746,                0.75644,                0.87753,                0.37613,                 1.2613,                0.00096,                0.00096,                0.00096
                     54,                0.70221,                0.43906,                 1.1762,                0.96868,                0.96059,                0.98403,                 0.7603,                0.85253,                0.36747,                 1.2411,                0.00094,                0.00094,                0.00094
                     55,                0.69657,                0.43981,                 1.1749,                0.96436,                0.95229,                0.98024,                0.75354,                0.87146,                0.37455,                 1.2763,                0.00092,                0.00092,                0.00092
                     56,                0.69285,                  0.441,                 1.1701,                0.97206,                0.96066,                0.97795,                0.74863,                0.87074,                0.38888,                 1.2756,                 0.0009,                 0.0009,                 0.0009
                     57,                0.68914,                0.43892,                 1.1663,                0.95809,                 0.9648,                0.97928,                0.75645,                 0.8562,                0.36945,                 1.2496,                0.00088,                0.00088,                0.00088
                     58,                0.68237,                0.42586,                  1.164,                0.96873,                0.96202,                0.98239,                0.74902,                 0.8573,                0.37499,                 1.2409,                0.00086,                0.00086,                0.00086
                     59,                0.68403,                0.43269,                 1.1581,                 0.9726,                0.95535,                0.98253,                 0.7527,                 0.8576,                 0.3728,                 1.2424,                0.00084,                0.00084,                0.00084
                     60,                0.67343,                0.42239,                 1.1555,                0.96475,                0.94824,                0.97291,                0.74454,                0.87448,                0.36971,                 1.2634,                0.00082,                0.00082,                0.00082
